Date,Soil Moisture (10 cm) (%),Soil Moisture (20 cm) (%),Soil Moisture (30 cm) (%),Plant Age (years),Temperature (°C),Humidity (%),Rainfall (mm),Rain Status (0/1),Soil Type,Soil Type (Numeric),Coconut Count
1930-05-31,25.233333333333334,31.333333333333332,41.9,5,27.266666666666666,67.43333333333334,5.025,1,Red Yellow Podzolic,4,511.0
1930-06-30,25.233333333333334,31.333333333333332,41.9,4,27.266666666666666,67.43333333333334,5.025,1,Red Yellow Podzolic,4,511.0
1930-07-31,30.433333333333337,31.433333333333334,46.166666666666664,5,28.133333333333336,65.86666666666667,2.6958333333333333,0,Red Yellow Podzolic,4,483.0
1930-08-31,24.133333333333336,27.099999999999998,41.43333333333333,9,27.96666666666667,69.93333333333334,0.3666666666666667,0,Red Yellow Podzolic,4,464.0
1930-09-30,26.200000000000003,27.133333333333336,31.700000000000003,2,29.366666666666664,72.83333333333334,0.0,0,Red Yellow Podzolic,4,451.6666666666667
1930-10-31,27.266666666666666,35.333333333333336,37.06666666666666,2,30.066666666666666,77.36666666666667,2.329166666666667,0,Red Yellow Podzolic,4,463.6666666666667
1930-11-30,30.933333333333334,34.0,44.133333333333326,8,31.566666666666666,74.73333333333333,4.658333333333334,1,Alluvial,5,482.0
1930-12-31,27.766666666666666,30.933333333333334,43.800000000000004,2,31.066666666666666,70.10000000000001,6.987500000000001,1,Alluvial,5,505.0
1931-01-31,27.599999999999998,25.2,43.29999999999999,2,29.566666666666666,68.5,5.291666666666667,1,Alluvial,5,525.0
1931-02-28,28.066666666666663,27.566666666666666,41.29999999999999,8,28.36666666666667,68.7,2.9625000000000004,0,Alluvial,5,537.3333333333334
1931-03-31,33.199999999999996,32.13333333333333,46.9,1,29.0,72.9,2.9625000000000004,0,Alluvial,5,544.6666666666666
1931-04-30,28.366666666666664,32.5,44.06666666666666,3,29.66666666666667,73.2,4.658333333333334,1,Lateritic,1,531.6666666666666
1931-05-31,30.03333333333333,33.333333333333336,48.633333333333326,4,31.76666666666667,72.5,4.658333333333334,1,Sandy Loam,2,509.3333333333333
1931-06-30,25.63333333333333,28.63333333333333,50.26666666666666,5,30.900000000000006,67.93333333333334,2.7291666666666665,0,Cinnamon Sand,3,484.0
1931-07-31,28.399999999999995,31.566666666666663,47.29999999999999,5,31.76666666666667,66.06666666666666,1.1333333333333335,0,Cinnamon Sand,3,459.3333333333333
1931-08-31,22.73333333333333,31.7,47.06666666666666,4,32.06666666666667,67.96666666666667,1.1333333333333335,1,Cinnamon Sand,3,455.0
1931-09-30,26.2,40.4,45.03333333333333,8,32.73333333333334,70.53333333333333,0.7333333333333334,0,Cinnamon Sand,3,456.6666666666667
1931-10-31,22.999999999999996,42.833333333333336,49.73333333333333,6,30.76666666666667,72.83333333333334,1.4666666666666668,0,Cinnamon Sand,3,464.6666666666667
1931-11-30,27.966666666666665,41.06666666666666,46.166666666666664,1,28.76666666666667,70.93333333333334,3.366666666666667,1,Cinnamon Sand,3,482.0
1931-12-31,27.433333333333334,33.300000000000004,42.73333333333333,1,29.066666666666666,70.13333333333334,3.366666666666667,1,Cinnamon Sand,3,509.3333333333333
1932-01-31,29.599999999999998,34.3,35.53333333333333,3,30.533333333333335,67.2,2.1333333333333333,0,Cinnamon Sand,3,532.3333333333334
1932-02-29,26.3,41.73333333333333,35.4,5,31.100000000000005,68.96666666666665,0.2333333333333333,1,Cinnamon Sand,3,547.3333333333334
1932-03-31,24.86666666666667,42.43333333333333,36.93333333333333,6,29.333333333333332,68.5,1.2333333333333334,0,Red Yellow Podzolic,4,540.3333333333334
1932-04-30,24.566666666666663,40.166666666666664,43.633333333333326,7,28.0,69.13333333333333,1.5,1,Red Yellow Podzolic,4,533.6666666666666
1932-05-31,24.266666666666666,46.64166666666667,41.833333333333336,6,26.533333333333335,69.69999999999999,1.5,0,Red Yellow Podzolic,4,511.6666666666667
1932-06-30,22.766666666666666,48.30833333333333,39.199999999999996,4,28.900000000000006,67.56666666666668,2.733333333333333,0,Red Yellow Podzolic,4,492.3333333333333
1932-07-31,31.395833333333332,42.14166666666666,42.86666666666667,9,31.533333333333342,70.56666666666666,4.5625,1,Red Yellow Podzolic,4,473.0
1932-08-31,33.69583333333333,26.66666666666666,47.133333333333326,6,33.23333333333334,69.93333333333332,5.0625,1,Red Yellow Podzolic,4,458.6666666666667
1932-09-30,35.09583333333333,24.73333333333333,48.43333333333334,1,33.66666666666667,73.13333333333333,3.4625000000000004,0,Red Yellow Podzolic,4,450.0
1932-10-31,28.066666666666666,27.66666666666666,47.666666666666664,2,31.96666666666667,69.93333333333334,1.5999999999999999,0,Red Yellow Podzolic,4,452.3333333333333
1932-11-30,28.866666666666664,33.83333333333333,44.5,6,30.33333333333334,76.26666666666667,1.0999999999999999,0,Red Yellow Podzolic,4,475.3333333333333
1932-12-31,27.366666666666664,33.83333333333332,53.133333333333326,6,29.233333333333338,77.86666666666666,1.7666666666666666,0,Red Yellow Podzolic,4,502.6666666666667
1933-01-31,23.73333333333333,38.6,52.1,2,29.066666666666674,77.46666666666667,1.3,1,Sandy Loam,2,518.6666666666666
1933-02-28,18.200000000000003,33.23333333333333,56.666666666666664,4,30.100000000000005,68.8,1.3,0,Sandy Loam,2,532.0
1933-03-31,22.366666666666664,26.566666666666663,45.599999999999994,4,28.733333333333338,64.13333333333334,2.2666666666666666,0,Sandy Loam,2,530.6666666666666
1933-04-30,23.066666666666666,21.7,38.8,3,27.26666666666667,64.76666666666667,2.4,1,Sandy Loam,2,525.6666666666666
1933-05-31,27.53333333333333,30.73333333333333,36.96666666666666,5,26.50000000000001,65.3,4.729166666666667,0,Sandy Loam,2,508.3333333333333
1933-06-30,29.03333333333333,39.1,43.36666666666667,7,27.500000000000004,66.8,4.791666666666667,1,Sandy Loam,2,486.6666666666667
1933-07-31,26.333333333333332,38.73333333333333,47.43333333333333,3,29.833333333333343,67.56666666666668,4.658333333333334,1,Sandy Loam,2,469.6666666666667
1933-08-31,34.29583333333333,37.56666666666666,45.199999999999996,6,31.63333333333334,72.2,2.329166666666667,0,Sandy Loam,2,453.6666666666667
1933-09-30,31.495833333333334,48.508333333333326,39.266666666666666,5,32.96666666666667,71.16666666666667,2.329166666666667,0,Sandy Loam,2,452.6666666666667
1933-10-31,39.12916666666667,48.375,43.73333333333333,4,33.83333333333334,72.7,2.329166666666667,1,Sandy Loam,2,468.3333333333333
1933-11-30,28.533333333333335,47.10833333333333,38.53333333333333,1,32.56666666666667,71.39999999999999,4.658333333333334,0,Sandy Loam,2,486.3333333333333
1933-12-31,28.8,32.099999999999994,43.6,8,30.166666666666675,76.63333333333334,2.4958333333333336,1,Sandy Loam,2,534.3333333333334
1934-01-31,27.433333333333334,35.533333333333324,42.73333333333333,3,26.733333333333338,77.03333333333335,3.2291666666666665,0,Sandy Loam,2,547.6666666666666
1934-02-28,28.7,36.166666666666664,48.73333333333333,3,25.96666666666667,72.73333333333333,3.2291666666666665,0,Sandy Loam,2,560.6666666666666
1934-03-31,25.366666666666664,37.33333333333333,54.133333333333326,3,27.933333333333337,70.13333333333334,3.429166666666667,1,Sandy Loam,2,546.0
1934-04-30,23.8,37.53333333333333,52.23333333333333,8,28.066666666666674,70.89999999999999,2.695833333333334,0,Sandy Loam,2,545.6666666666666
1934-05-31,24.433333333333334,38.96666666666666,51.29999999999999,7,27.83333333333334,72.66666666666667,0.6333333333333334,0,Cinnamon Sand,3,518.0
1934-06-30,26.8,40.93333333333333,46.43333333333333,2,26.233333333333338,74.13333333333333,0.6,0,Cinnamon Sand,3,495.0
1934-07-31,31.133333333333336,40.29999999999999,42.199999999999996,6,28.600000000000005,73.43333333333334,1.9000000000000001,0,Cinnamon Sand,3,469.6666666666667
1934-08-31,34.300000000000004,38.566666666666656,43.599999999999994,7,30.566666666666666,72.63333333333334,3.9625000000000004,1,Cinnamon Sand,3,463.3333333333333
1934-09-30,36.16666666666667,36.23333333333333,49.03333333333333,6,30.3,69.80000000000001,5.229166666666667,1,Cinnamon Sand,3,453.6666666666667
1934-10-31,32.63333333333333,30.533333333333328,46.599999999999994,3,29.933333333333337,69.73333333333333,4.395833333333333,1,Cinnamon Sand,3,461.6666666666667
1934-11-30,32.199999999999996,29.86666666666666,48.833333333333336,7,28.466666666666672,70.33333333333333,2.3333333333333335,0,Cinnamon Sand,3,482.6666666666667
1934-12-31,32.46666666666667,33.96666666666666,37.76666666666667,4,29.3,71.03333333333333,3.0625,0,Cinnamon Sand,3,497.0
1935-01-31,32.9,34.73333333333333,48.03333333333333,9,29.400000000000006,70.73333333333333,2.8625000000000003,1,Alluvial,5,520.0
1935-02-28,28.2,30.566666666666663,45.833333333333336,9,29.033333333333335,69.43333333333334,3.029166666666667,0,Alluvial,5,530.6666666666666
1935-03-31,23.099999999999998,26.466666666666658,46.43333333333333,8,29.066666666666674,71.73333333333333,3.029166666666667,0,Alluvial,5,542.0
1935-04-30,19.23333333333333,30.533333333333328,33.86666666666667,4,28.900000000000006,71.6,3.5291666666666663,1,Alluvial,5,538.3333333333334
1935-05-31,17.9,27.23333333333333,29.433333333333326,8,29.033333333333342,76.46666666666665,3.1958333333333333,1,Alluvial,5,520.3333333333334
1935-06-30,23.73333333333333,28.633333333333326,32.13333333333333,6,29.733333333333338,75.73333333333333,3.1958333333333333,0,Alluvial,5,494.6666666666667
1935-07-31,25.433333333333326,29.466666666666658,42.4,1,31.033333333333342,75.76666666666667,4.758333333333334,1,Alluvial,5,469.3333333333333
1935-08-31,29.766666666666662,39.29999999999999,40.86666666666667,6,32.300000000000004,74.06666666666666,6.987500000000001,1,Alluvial,5,464.0
1935-09-30,24.03333333333333,45.0,38.599999999999994,1,32.73333333333334,70.66666666666667,4.958333333333333,1,Alluvial,5,463.3333333333333
1935-10-31,21.933333333333334,43.06666666666666,36.73333333333333,5,32.466666666666676,70.6,3.4958333333333336,0,Alluvial,5,465.3333333333333
1935-11-30,18.166666666666668,37.699999999999996,46.23333333333333,2,33.866666666666674,66.73333333333333,1.1666666666666667,0,Alluvial,5,474.6666666666667
1935-12-31,19.23333333333333,38.4,45.833333333333336,9,32.933333333333344,71.5,1.0,0,Alluvial,5,501.6666666666667
1936-01-31,17.933333333333334,41.79999999999999,39.86666666666667,6,30.566666666666674,71.76666666666667,0.3333333333333333,0,Cinnamon Sand,3,530.3333333333334
1936-02-29,20.466666666666665,37.36666666666665,38.06666666666666,4,27.533333333333342,68.56666666666666,1.7333333333333334,0,Cinnamon Sand,3,544.3333333333334
1936-03-31,21.03333333333333,34.76666666666666,38.99999999999999,5,27.566666666666674,68.76666666666665,1.9333333333333333,1,Sandy Loam,2,556.0
1936-04-30,22.466666666666665,31.366666666666664,40.800000000000004,1,29.10000000000001,67.06666666666666,1.7333333333333334,0,Sandy Loam,2,545.0
1936-05-31,22.966666666666665,39.99999999999999,37.36666666666667,7,28.93333333333334,73.39999999999999,0.6,0,Sandy Loam,2,536.6666666666666
1936-06-30,22.466666666666665,34.43333333333333,44.96666666666667,2,29.300000000000008,70.63333333333333,0.7333333333333334,0,Alluvial,5,492.3333333333333
